,Predicted Close
361,8444.934712841381
362,8402.249105921288
363,8361.916498895516
364,8322.4161971812
365,8284.782973522564
366,8245.756007833501
367,8202.041647471238
368,8161.2203825604365
369,8122.021593158161
370,8083.121032812257
371,8046.154310053919
372,8006.80066042604
373,7971.613462238943
374,7932.475960275774
375,7894.344228965108
376,7854.106289144387
377,7814.495998365243
378,7775.321286171188
379,7738.596429913615
380,7700.229945822795
381,7660.634976903429
382,7625.497574760606
383,7589.931160544028
384,7553.497966831495
385,7515.142974135508
386,7482.461447231223
387,7446.492834195499
388,7411.598392971997
389,7374.447807896336
390,7335.449297089715
391,7303.584206427832
392,7267.221055502851
393,7232.026196385866
394,7201.497390780245
395,7164.891826145222
396,7130.286311420371
397,7093.716315388401
398,7061.81182565852
399,7027.282920232554
400,6995.761476997097
401,6961.79948038288
402,6928.485379553516
403,6892.485575588961
404,6861.8987657999
405,6830.617000228097
406,6799.916370909264
407,6769.000141134997
408,6737.6362941715315
409,6703.976357078632
410,6671.1197232054665
411,6639.325222540413
412,6606.984607016166
413,6576.210651654114
414,6545.363917458122
415,6512.094140580257
416,6481.142889412215
417,6451.741334918757
418,6423.377289215912
419,6390.346642792423
420,6359.580895569538
421,6331.68909147339
422,6301.946078390618
423,6273.438116647725
424,6244.82618514206
425,6217.699926825483
426,6186.883836349045
427,6156.303593071317
428,6126.228423956951
429,6097.794335466554
430,6068.110420985778
431,6039.8640252776495
432,6012.960481137116
433,5985.977591651311
434,5960.947144868513
435,5930.403017403116
436,5903.676769068574
437,5879.0890145914755
438,5852.21775579833
439,5825.02419074059
440,5794.314806073313
441,5766.363903375169
442,5741.857135871177
443,5711.559252580767
444,5684.034078700711
445,5653.602676346531
446,5626.490645471175
447,5601.803846114804
448,5571.831005135377
449,5544.397215204705
450,5517.658928266053
451,5489.612263944303
452,5464.124897414585
453,5435.69518659841
454,5412.502815779571
455,5388.342978957673
456,5360.8862062373355
457,5335.671349927937
458,5309.011313916003
459,5285.417291487296
460,5262.174030205627
461,5237.663432236691
462,5213.407833791186
463,5192.994738894035
464,5171.706656361764
465,5141.756798172002
466,5118.325844108065
467,5098.3669329114455
468,5072.702270575737
469,5050.2338576313605
470,5026.410554515277
471,4998.828470870336
472,4978.162565286865
473,4957.870950849374
474,4928.447507984807
475,4905.0647083373115
476,4884.3949722888965
477,4859.426907363762
478,4837.581218577464
479,4813.610168956389
480,4786.097580889722
481,4763.840937935834
482,4743.255472116192
483,4718.184531846841
484,4693.669008994405
485,4671.947536714157
486,4645.982456484963
487,4625.021057891508
488,4604.312469984372
489,4581.464841010516
490,4563.9683715637675
491,4537.1852134643395
492,4513.696255216961
493,4493.021047075768
494,4472.888123328825
495,4454.314746023466
496,4435.117002932196
497,4412.469652553996
498,4395.00656287319
499,4374.249273340334
500,4354.1147079655575
501,4335.209174628605
502,4317.839657734295
503,4293.681462540229
504,4274.687828509559
505,4251.3367670001735
506,4233.840844762703
507,4213.9798840268
508,4192.495353363817
509,4174.904216712018
510,4153.744728360017
511,4136.002014738281
512,4115.934756104668
513,4094.1339384791454
514,4075.9195304599903
515,4056.332174362962
516,4034.0312074575772
517,4017.6231372642715
518,3996.187855436285
519,3978.90698644497
520,3957.9800620360124
521,3936.3921088195343
522,3918.7675924017926
523,3899.404044899364
524,3877.3318114720782
525,3860.076114107539
526,3839.829370830824
527,3817.985870881637
528,3801.5093995286124
529,3780.5682476784336
530,3763.0296431172987
531,3742.7697668179176
532,3723.9184071994623
533,3704.04048297595
534,3683.0976894979376
535,3672.2530960315066
